episode,reward,episode_length
1,-47.61844234194996,620
2,-90.56172601025938,595
3,96.84306416093146,639
4,-19.917375707277458,551
5,120.10411083703715,952
6,102.3458467970308,703
7,55.406544589344094,728
8,295.8993064118472,1051
9,24.055341200905033,656
10,62.08905419058526,759
11,251.29005845837153,927
12,152.65526229771518,805
13,81.61807134289538,720
14,318.28645910552876,1148
15,187.95955109239614,820
16,500.8904320391105,1391
17,135.48754592306616,822
18,278.2712691013678,1005
19,155.8078045684155,818
20,128.0291670106129,725
21,118.79333378546562,883
22,207.20263760148833,875
23,336.0576686421947,1073
24,312.71008651021543,999
25,196.029549767661,993
26,135.79869842645883,886
27,140.2442471388573,1110
28,214.63982028041838,1093
29,457.8186771206118,1225
30,201.30949619601478,1191
31,435.68325753711366,1303
32,578.0285681863467,1619
33,560.8542322675362,1380
34,499.44642521676536,1475
35,323.03162281829725,1249
36,1495.0422311725354,5370
37,388.4806558314066,1401
38,494.833164671414,1560
39,240.6914265946207,1009
40,281.55846112793927,1138
41,553.8408378065055,1843
42,445.0302688585055,1284
43,425.03687874393654,1435
44,298.0713480943368,1388
45,721.232843959117,2082
46,351.1416291051506,1467
47,1615.5425198845555,3921
48,361.55613591486093,1625
49,-11.32848766315091,784
50,189.0806372511754,957
51,423.28499898745577,1215
52,470.072979724774,1197
53,234.79929428962683,1120
54,63.872857121251144,1145
55,372.6202430862804,854
56,708.93829006449,1752
57,190.4943374213977,852
58,783.8138369601543,1410
59,93.30689456581621,1048
60,145.69483882683886,1000
61,583.9496023481678,1330
62,884.9617044585656,2740
63,801.4862693101084,2289
64,257.68019453815174,1443
65,751.5058006641802,2361
66,59.761912213662825,877
67,99.86863206281011,692
68,639.5386614099664,1596
69,38.28141584705027,693
70,94.3145469003838,737
71,349.7493580733012,1201
72,341.97245870583566,1013
73,408.59542620370735,1925
74,725.5783718030818,2573
75,411.01315236305334,1101
76,252.91831393878334,944
77,402.2418677348779,1181
78,186.16589365566725,791
79,770.1499050186736,1974
80,4.525987406163992,1015
81,723.8445870983618,2118
82,243.71813429658158,944
83,107.71716558565838,874
84,167.50823968090407,757
85,240.81218519449723,1036
86,363.1860466259925,1195
87,358.05877182559374,914
88,-99.96039570129342,548
89,17.176145695939,721
90,-92.42030199769405,567
91,330.37413211327,1089
92,736.904602881042,1612
93,361.4976805121437,1165
94,434.02970700766105,1409
95,309.94330291670224,831
96,223.8935233161347,1224
97,-38.28389226578036,705
98,-77.61656802681128,646
99,-94.06570635751473,650
100,1554.0017423634931,2218
101,-86.89625673915832,604
102,1094.1324987297753,2518
103,-87.89553988992132,572
104,115.834944699307,738
105,684.7244005716019,1665
106,266.585868095779,763
107,10.673051178025773,815
108,342.8267099072664,1203
109,91.38137368462795,968
110,349.6781877130103,1164
111,156.1973393653446,954
112,200.8591890602712,1013
113,413.0233890206307,1061
114,227.2944067717754,809
115,367.0542600979568,1403
116,46.42191994851461,803
117,390.2084213207032,1352
118,351.76454821300734,1211
119,158.92329839269118,758
120,727.6599183598527,2093
121,312.7404595916764,1110
122,459.38802994524224,1066
123,333.9771167054123,1217
124,104.07546705831996,620
125,149.78495232910137,762
126,224.1179396529821,1014
127,316.0828044231679,858
128,128.53567958811863,716
129,450.41310799205263,1181
130,131.35909354048897,747
131,88.47824422166626,750
132,418.4436015210679,1340
133,91.82625373698798,790
134,129.22411860840748,724
135,672.63561748791,2252
136,339.51991820543185,1022
137,83.44992095323532,813
138,273.42265099386873,1052
139,300.5376862852696,882
140,155.86888629940864,778
141,-2.5992872717199162,951
142,266.5746358290697,899
143,201.21952528141787,790
144,139.44586431153272,917
145,39.78718027383832,1077
146,397.70720393378883,1246
147,185.5742038288057,1068
148,-63.60965060645828,574
149,268.70365519718166,893
150,348.8482146752541,1184
151,153.40858957265343,741
152,415.38016891661846,901
153,130.3901825286062,1092
154,496.386137048818,1528
155,340.4751251808576,1180
156,256.70564858743467,979
157,114.67359755833921,825
158,209.22229454888884,1180
159,536.6330920972335,1716
160,-99.98480624122531,408
161,229.81246145116583,1123
162,257.56551776552794,974
163,-99.97758342965781,398
164,296.911206058641,1115
165,-94.97384780507525,422
166,-93.29749032383882,407
167,36.088826851437105,697
