#{"t_start": 1774795083.3330154, "env_id": "AstroExploration-v0"}
r,l,t
-996.400689,1242,2975.040199
-995.43349,984,2980.834814
-996.54421,1021,2986.863535
-991.289052,973,2992.855868
-995.322526,995,2998.769851
-998.148372,595,3002.40376
-995.977426,1111,3017.103607
-997.539479,853,3034.618836
-982.431399,921,3097.394841
-989.70465,1055,3121.907543
-995.091641,852,3140.956094
-991.813176,967,3170.246083
-998.137066,701,3188.087984
-992.611019,1076,3220.672923
-995.849973,1002,3253.392197
-999.32834,983,3287.061381
-998.374804,726,3310.498168
-997.816211,1210,3345.8733
-994.551211,837,3364.253844
-997.929398,850,5305.899257
-998.284037,693,5319.835443
-998.915188,2652,5377.803533
-996.380119,727,5391.072184
-995.951297,957,5410.536227
-995.544581,2328,5457.100264
-992.090917,958,5476.146276
-995.194812,1454,5522.603697
-964.864075,1496,5560.074921
-998.212366,639,5576.612139
-998.204763,580,5593.562401
-996.716207,811,5615.249751
-998.300053,918,5640.195806
-994.385247,1100,5671.028854
-986.842425,989,5698.158024
-998.326433,952,5724.446533
-994.288291,804,5741.274505
-996.248218,839,5760.195884
-992.209084,1002,5810.696731
-982.983542,1137,5837.601805
-991.469709,1409,5868.806995
-997.345914,1194,5896.737816
-997.991217,627,5911.013361
-963.069455,1702,5949.30137
-987.044317,1167,5972.948571
-998.813682,757,5988.516194
-995.847905,1273,6014.215868
-998.205346,584,6124.231011
-996.10509,1838,6162.042444
-982.76437,1458,6192.813986
-996.138287,540,6203.280277
-997.938507,958,6222.335575
-991.87732,2159,6260.475398
-971.211236,1144,6284.699037
-992.522287,1074,6307.734575
-997.614211,1000,6596.629375
-999.483541,1332,6625.493652
-995.245609,693,6642.117748
-935.096474,1084,6668.609911
-998.523346,759,6684.824911
-971.902002,1344,6714.53134
-996.429789,1195,6743.50941
-998.097861,1211,6768.862882
-984.180041,686,6782.712997
-996.130853,2127,9251.803392
-996.515936,1379,9281.742015
-968.22501,1435,9313.761489
-994.212455,1299,9344.298951
-998.646438,1158,9372.327698
-995.473881,568,9386.729394
-995.728863,855,9408.543848
-993.955368,777,9429.325046
-999.397827,726,9450.591019
-999.509107,1146,9532.305552
-998.101625,1128,9559.674699
-998.451855,1226,9593.544781
-987.598711,877,9618.229317
-998.869409,1223,9652.702242
-993.454614,1083,9683.110137
